ASV,seed23_run2,seed105_run3,seed12_run4
ASV0553,8,11,9
ASV0556,2,5,2
ASV0557,3,6,1
ASV0558,3,6,1
ASV0559,9,8,10
ASV0560,5,4,6
ASV0561,3,6,1
ASV0562,7,1,8
ASV0564,1,9,12
ASV0565,1,9,12
ASV0567,9,8,10
ASV0568,9,8,10
ASV0570,1,9,12
ASV0571,9,8,10
ASV0573,5,4,6
ASV0575,3,6,1
ASV0576,5,4,6
ASV0577,3,6,1
ASV0579,3,6,1
ASV0581,7,1,8
ASV0582,3,6,13
ASV0583,3,6,1
ASV0585,2,5,2
ASV0586,7,1,8
ASV0589,3,6,1
ASV0590,3,6,1
ASV0591,3,6,1
ASV0592,3,6,1
ASV0593,8,11,9
ASV0596,1,9,12
ASV0597,3,6,1
ASV0598,9,8,10
ASV0599,5,4,6
ASV0600,9,8,10
ASV0601,3,6,1
ASV0602,9,8,10
ASV0603,9,8,10
ASV0604,5,4,6
ASV0607,9,8,10
ASV0608,1,9,12
ASV0609,5,4,6
ASV0610,3,6,1
ASV0611,1,9,12
ASV0612,3,6,1
ASV0613,3,6,1
ASV0614,8,11,9
ASV0615,1,9,12
ASV0617,3,6,1
ASV0618,3,6,1
ASV0619,3,6,1
ASV0620,3,6,1
ASV0621,8,11,9
ASV0622,11,3,7
ASV0624,3,6,1
ASV0625,9,8,10
ASV0626,5,4,6
ASV0627,3,6,1
ASV0628,9,8,10
ASV0629,5,4,6
ASV0631,3,6,1
ASV0632,11,3,7
ASV0633,7,1,8
ASV0634,3,6,1
ASV0635,3,6,1
ASV0637,3,6,1
ASV0640,3,6,1
ASV0642,3,6,1
ASV0643,3,6,1
ASV0644,3,6,1
ASV0646,3,6,1
ASV0647,5,4,6
ASV0648,11,3,7
ASV0649,3,6,1
ASV0651,3,6,1
ASV0654,9,8,10
ASV0656,1,9,12
ASV0658,2,5,2
ASV0660,9,9,10
ASV0661,3,6,1
ASV0662,1,9,12
ASV0663,3,6,1
ASV0664,12,12,11
ASV0665,3,6,1
ASV0666,3,6,1
ASV0669,5,4,6
ASV0670,7,1,8
ASV0672,3,6,1
ASV0673,9,8,10
ASV0674,11,3,7
ASV0675,1,9,12
ASV0676,3,6,1
ASV0677,5,4,6
ASV0678,3,6,1
ASV0679,3,6,1
ASV0680,12,12,11
ASV0682,1,9,12
ASV0683,8,11,9
ASV0684,3,6,1
ASV0686,8,11,9
ASV0687,1,9,12
ASV0688,9,8,13
ASV0689,1,9,12
ASV0690,9,8,10
ASV0691,5,4,6
ASV0692,3,6,1
ASV0693,3,6,1
ASV0694,3,6,1
ASV0695,3,6,13
ASV0697,1,9,12
ASV0699,12,12,11
ASV0700,3,6,1
ASV0701,7,1,8
ASV0702,3,6,1
ASV0703,11,3,7
ASV0705,9,8,10
ASV0706,3,6,1
ASV0708,3,6,1
ASV0709,3,6,1
ASV0710,3,6,1
ASV0711,9,8,10
ASV0712,9,8,10
ASV0713,1,9,12
ASV0714,3,6,1
ASV0715,3,6,1
ASV0716,2,5,2
ASV0717,3,9,12
ASV0718,11,3,7
ASV0720,3,6,1
ASV0721,1,9,2
ASV0722,3,6,1
ASV0723,3,6,13
ASV0727,3,6,1
ASV0728,5,9,12
ASV0729,1,9,12
ASV0731,3,6,1
ASV0732,3,6,1
ASV0733,3,6,1
ASV0734,3,6,1
ASV0735,3,6,1
