"","Sample","Species","Region","Reef","Lat","Lon","Collection.date"
"270","PDOG-R3-26","Pocillopora verrucosa","DOG","R3",19.66569167,40.62266389,"Mar-12"
"271","PDOG-R3-27","Pocillopora verrucosa","DOG","R3",19.66569167,40.62266389,"Mar-12"
"272","PDOG-R3-28","Pocillopora verrucosa","DOG","R3",19.66569167,40.62266389,"Mar-12"
"273","PDOG-R3-29","Pocillopora verrucosa","DOG","R3",19.66569167,40.62266389,"Mar-12"
"274","PDOG-R3-30","Pocillopora verrucosa","DOG","R3",19.66569167,40.62266389,"Mar-12"
"275","PFAR-R3-1","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"276","PFAR-R3-2","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"277","PFAR-R3-3","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"278","PFAR-R3-4","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"279","PFAR-R3-8","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"280","PFAR-R3-9","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"281","PFAR-R3-12","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"282","PFAR-R3-14","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"283","PFAR-R3-16","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"284","PFAR-R3-17","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"285","PFAR-R3-18","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"286","PFAR-R3-19","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"287","PFAR-R3-20","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"288","PFAR-R3-21","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"289","PFAR-R3-22","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"290","PFAR-R3-23","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"291","PFAR-R3-24","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"292","PFAR-R3-25","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"293","PFAR-R3-27","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"294","PFAR-R3-28","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"295","PFAR-R3-29","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"296","PFAR-R3-30","Pocillopora verrucosa","FAR","R3",16.52518056,42.03253056,"Sep-11"
"297","SMAQ-R1-1","Stylophora pistillata ","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"298","SMAQ-R1-2","Stylophora pistillata ","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"299","SMAQ-R1-3","Stylophora pistillata ","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"300","SMAQ-R1-4","Stylophora pistillata ","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"301","SMAQ-R1-5","Stylophora pistillata ","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"302","SMAQ-R1-6","Stylophora pistillata ","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"303","SMAQ-R1-7","Stylophora pistillata ","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"304","SMAQ-R1-8","Stylophora pistillata ","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"305","SMAQ-R1-10","Stylophora pistillata ","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"306","SMAQ-R1-11","Stylophora pistillata ","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"307","SMAQ-R1-12","Stylophora pistillata ","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"308","SMAQ-R1-14","Stylophora pistillata ","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"309","SMAQ-R1-15","Stylophora pistillata ","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"310","SMAQ-R1-19","Stylophora pistillata ","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"311","SMAQ-R1-23","Stylophora pistillata ","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"312","SMAQ-R1-24","Stylophora pistillata ","MAQ","R1",28.52616667,34.80397222,"Sep-11"
